   t     nR      nF
27.450000  0.689977  1.008305
27.500000  0.690017  0.998997
27.550000  0.690051  0.989706
27.600000  0.690727  0.980591
27.650000  0.691397  0.971493
27.700000  0.692698  0.962603
27.750000  0.693993  0.953729
27.800000  0.695909  0.945092
27.850000  0.697820  0.936470
27.900000  0.700343  0.928113
27.950000  0.702860  0.919770
28.000000  0.705982  0.911715
28.050000  0.709098  0.903673
28.100000  0.712812  0.895942
28.150000  0.716521  0.888223
28.200000  0.720821  0.880835
28.250000  0.725116  0.873457
28.300000  0.729997  0.866429
28.350000  0.734872  0.859411
28.400000  0.740329  0.852757
28.450000  0.745779  0.846114
28.500000  0.751805  0.839851
28.550000  0.757825  0.833598
28.600000  0.764415  0.827739
28.650000  0.770999  0.821889
28.700000  0.778148  0.816446
28.750000  0.785289  0.811012
28.800000  0.792989  0.805998
28.850000  0.800681  0.800993
28.900000  0.808923  0.796419
28.950000  0.817157  0.791854
29.000000  0.825932  0.787732
29.050000  0.834698  0.783618
29.100000  0.843993  0.779960
29.150000  0.853279  0.776309
29.200000  0.863080  0.773126
29.250000  0.872871  0.769950
29.300000  0.883160  0.767253
29.350000  0.893438  0.764563
29.400000  0.904195  0.762364
29.450000  0.914939  0.760173
29.500000  0.926138  0.758485
29.550000  0.937322  0.756804
29.600000  0.948933  0.755639
29.650000  0.960527  0.754481
29.700000  0.972516  0.753852
29.750000  0.984485  0.753230
29.800000  0.996810  0.753150
29.850000  1.009113  0.753078
29.900000  1.021727  0.753562
29.950000  1.034317  0.754053
30.000000  1.047166  0.755115
30.050000  1.059988  0.756183
30.100000  1.073010  0.757837
30.150000  1.086002  0.759496
30.200000  1.099129  0.761756
30.250000  1.112222  0.764021
30.300000  1.125375  0.766900
30.350000  1.138491  0.769785
30.400000  1.151585  0.773297
30.450000  1.164638  0.776813
30.500000  1.177578  0.780970
30.550000  1.190474  0.785131
30.600000  1.203158  0.789943
30.650000  1.215794  0.794758
30.700000  1.228111  0.800233
30.750000  1.240378  0.805710
30.800000  1.252210  0.811854
30.850000  1.263990  0.817996
30.900000  1.275216  0.824810
30.950000  1.286386  0.831620
31.000000  1.296876  0.839100
31.050000  1.307309  0.846573
31.100000  1.316933  0.854710
31.150000  1.326500  0.862836
31.200000  1.335128  0.871613
31.250000  1.343699  0.880376
31.300000  1.351202  0.889768
