     t       numeric x    exact x     numeric v     exact v  
0.09400000  0.93861646  0.93861630  9.95585251  9.95585252
0.09450000  0.94359439  0.94359411  9.95538320  9.95538197
0.09500000  0.94857184  0.94857169  9.95490891  9.95490893
0.09550000  0.95354930  0.95354902  9.95443463  9.95443340
0.09600000  0.95852628  0.95852612  9.95395536  9.95395538
0.09650000  0.96350326  0.96350298  9.95347610  9.95347487
0.09700000  0.96847975  0.96847959  9.95299186  9.95299188
0.09750000  0.97345625  0.97345597  9.95250762  9.95250639
0.09800000  0.97843226  0.97843210  9.95201840  9.95201842
0.09850000  0.98340827  0.98340799  9.95152919  9.95152796
0.09900000  0.98838379  0.98838363  9.95103500  9.95103501
0.09950000  0.99335931  0.99335902  9.95054080  9.95053958
0.10000000  0.99833433  0.99833417  9.95004164  9.95004165
0.10050000  1.00330935  1.00330906  9.94954247  9.94954124
0.10100000  1.00828387  1.00828371  9.94903833  9.94903834
0.10150000  1.01325839  1.01325810  9.94853418  9.94853296
0.10200000  1.01823241  1.01823224  9.94802507  9.94802509
0.10250000  1.02320642  1.02320612  9.94751595  9.94751473
0.10300000  1.02817992  1.02817975  9.94700186  9.94700188
0.10350000  1.03315343  1.03315313  9.94648777  9.94648655
0.10400000  1.03812641  1.03812624  9.94596871  9.94596873
0.10450000  1.04309940  1.04309909  9.94544965  9.94544842
0.10500000  1.04807186  1.04807169  9.94492561  9.94492563
0.10550000  1.05304433  1.05304402  9.94440157  9.94440035
0.10600000  1.05801626  1.05801609  9.94387256  9.94387258
0.10650000  1.06298820  1.06298789  9.94334356  9.94334233
0.10700000  1.06795961  1.06795943  9.94280958  9.94280960
0.10750000  1.07293101  1.07293070  9.94227560  9.94227437
0.10800000  1.07790188  1.07790170  9.94173665  9.94173667
0.10850000  1.08287275  1.08287244  9.94119769  9.94119647
0.10900000  1.08784308  1.08784290  9.94065377  9.94065379
0.10950000  1.09281341  1.09281309  9.94010985  9.94010863
0.11000000  1.09778319  1.09778301  9.93956096  9.93956098
0.11050000  1.10275297  1.10275265  9.93901207  9.93901085
0.11100000  1.10772220  1.10772202  9.93845821  9.93845823
0.11150000  1.11269143  1.11269111  9.93790435  9.93790312
0.11200000  1.11766011  1.11765992  9.93734552  9.93734554
0.11250000  1.12262878  1.12262845  9.93678669  9.93678546
0.11300000  1.12759689  1.12759671  9.93622289  9.93622291
0.11350000  1.13256501  1.13256468  9.93565909  9.93565787
0.11400000  1.13753255  1.13753236  9.93509032  9.93509034
0.11450000  1.14250010  1.14249977  9.93452156  9.93452033
0.11500000  1.14746707  1.14746688  9.93394782  9.93394784
0.11550000  1.15243405  1.15243371  9.93337409  9.93337287
0.11600000  1.15740045  1.15740026  9.93279539  9.93279541
0.11650000  1.16236685  1.16236651  9.93221669  9.93221547
0.11700000  1.16733267  1.16733247  9.93163302  9.93163304
